,Name,Sector,Sharpe,Risk
AMSC,American Superconductor Corporation,Consumer Durables,-0.5485656973692496,0.039891173445155546
AMSF,"AMERISAFE, Inc.",Finance,0.25371304121774035,0.01697150602851536
AMSWA,"American Software, Inc.",Technology,0.5494666957687926,0.018193199602092956
AMTD,TD Ameritrade Holding Corporation,Finance,1.6248207637092242,0.016343552836283637
AMTX,"Aemetis, Inc",Basic Industries,-0.7594787775507922,0.04590281889533803
AMWD,American Woodmark Corporation,Basic Industries,0.6829569671284436,0.01829141270112772
AMZN,"Amazon.com, Inc.",Consumer Services,0.826100815839263,0.012045836320474306
ANAT,American National Insurance Company,Finance,-0.04476585881171755,0.010228632484253437
ANCB,Anchor Bancorp,Finance,-0.1391205879633677,0.008882147024398733
ANCX,Access National Corporation,Finance,0.9698742756238525,0.014825994975511167
ANDA,Andina Acquisition Corp. II,Finance,0.4623286457160114,0.008900702043027715
ANDE,"The Andersons, Inc.",Consumer Services,-0.014999428958331989,0.018235085746991096
ANGI,ANGI Homeservices Inc.,Consumer Services,0.24747348901947525,0.046536564870950155
ANGO,"AngioDynamics, Inc.",Health Care,0.12240118860182875,0.01834467656979155
ANIK,Anika Therapeutics Inc.,Health Care,0.7948483049802998,0.01576221695946103
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,-0.5627943351580083,0.026455450849082896
ANSS,"ANSYS, Inc.",Technology,1.973352541273649,0.011536183162335095
ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,-0.7741228089615061,0.07880985296911956
AOBC,American Outdoor Brands Corporation,Capital Goods,-0.8174360553159686,0.027715886620158867
AOSL,Alpha and Omega Semiconductor Limited,Technology,-0.431835488117419,0.029695424226933366
APDN,Applied DNA Sciences Inc,Consumer Services,-0.027207156574199767,0.053688163136320834
APEI,"American Public Education, Inc.",Consumer Services,0.007678284102548035,0.03673073049886628
APEN,"Apollo Endosurgery, Inc.",Health Care,-0.5506346750505102,0.07844219595409681
APLP,"Archrock Partners, L.P.",Public Utilities,-0.04542066630326804,0.02157255071275206
APOG,"Apogee Enterprises, Inc.",Capital Goods,0.2959868386410957,0.019226735243829115
APPF,"AppFolio, Inc.",Technology,5.260200659620599,0.019054563807762832
APPS,"Digital Turbine, Inc.",Miscellaneous,0.5073222938626546,0.03793277984184042
APRI,"Apricus Biosciences, Inc.",Health Care,-0.29980959313987654,0.09423006141805268
APTI,"Apptio, Inc.",Technology,0.002241039759239235,0.026716936963534756
APTO,"Aptose Biosciences, Inc.",Health Care,-0.6829950168086351,0.051143226303075266
APVO,Aptevo Therapeutics Inc.,Health Care,0.032809035618287,0.0597933901552798
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,0.7238387189555003,0.037052802649788635
AQMS,"Aqua Metals, Inc.",Basic Industries,-0.13794871366287204,0.05192147199412712
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,1.4900551457384206,0.03169361003534438
ARAY,Accuray Incorporated,Health Care,-0.7119024030168806,0.02779111849354371
ARCB,ArcBest Corporation,Transportation,1.1137880441827084,0.03300027993048087
ARCC,Ares Capital Corporation,n/a,2.1399731670446274,0.007136535660232541
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,0.10118036386902925,0.10297301185059694
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,-0.6705688410096545,0.04146199943235467
ARDM,Aradigm Corporation,Health Care,-0.4044879334877379,0.07438045301581896
ARDX,"Ardelyx, Inc.",Health Care,-0.8000857680503367,0.04810115170538913
AREX,Approach Resources Inc.,Energy,-0.3808573356957128,0.0468500802238595
ARGS,"Argos Therapeutics, Inc.",Health Care,-0.7510496836263109,0.0832310846779258
ARII,"American Railcar Industries, Inc.",Capital Goods,-0.08073763053278304,0.019007467617134087
ARKR,Ark Restaurants Corp.,Consumer Services,0.732066315172336,0.017711431856267782
ARLP,"Alliance Resource Partners, L.P.",Energy,-0.12713071556219377,0.026254136548936595
ARLZ,Aralez Pharmaceuticals Inc.,Health Care,-0.5946935223774958,0.035346966820709286
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,0.5449105767148693,0.04393008879936908
AROW,Arrow Financial Corporation,Finance,0.49049609968606933,0.01651020877438073
ARQL,"ArQule, Inc.",Health Care,-0.5952650388572567,0.03767904380193105
ARRS,ARRIS International plc,Technology,0.07844558031994438,0.018971691902596913
ARRY,Array BioPharma Inc.,Health Care,1.2241071580268452,0.0379302072516843
ARTNA,Artesian Resources Corporation,Public Utilities,1.8912960899840263,0.0184913133508194
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,-0.20119021891085972,0.04686816382807465
ARTX,Arotech Corporation,Miscellaneous,0.2761619481945833,0.04491007477365023
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,-0.4274216898820459,0.07130205919501892
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,-0.8874610070727048,0.03328466090811513
ASET,FlexShares Real Assets Allocation Index Fund,n/a,1.1907777584654153,0.01921447832057229
ASFI,"Asta Funding, Inc.",Finance,-0.56856711062674,0.027274260390631983
ASMB,"Assembly Biosciences, Inc.",Health Care,6.448879833351765,0.032847392595930267
ASML,ASML Holding N.V.,Technology,1.4759795057772487,0.012120219004223304
ASNA,"Ascena Retail Group, Inc.",Consumer Services,-0.8148946532337286,0.048111563784675335
ASND,Ascendis Pharma A/S,Health Care,1.2605385133174196,0.021388673458393997
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,0.9666442104681457,0.02951565621625971
ASRV,AmeriServ Financial Inc.,Finance,1.0584270801137015,0.01836596586137425
ASTC,Astrotech Corporation,Capital Goods,-0.5685584700893792,0.04646601683957757
ASTE,"Astec Industries, Inc.",Capital Goods,-0.22130561338531407,0.021586236840605653
ASUR,Asure Software Inc,Technology,1.8928293282862458,0.033195153309792065
ASYS,"Amtech Systems, Inc.",Technology,2.641955741024286,0.04427015503576199
ATAI,ATA Inc.,Consumer Services,-0.43546901472411087,0.03254952818637838
ATAX,"America First Multifamily Investors, L.P.",Finance,0.8425438403778541,0.014987394747810672
ATEC,"Alphatec Holdings, Inc.",Health Care,-0.7507885193362998,0.051030099346804435
ATHN,"athenahealth, Inc.",Miscellaneous,-0.03872379211901376,0.03100449375692113
ATHX,"Athersys, Inc.",Health Care,0.314454052467582,0.04767115014260586
ATLC,Atlanticus Holdings Corporation,Finance,-0.39375108437182127,0.038883557495213376
ATLO,Ames National Corporation,Finance,0.466953123121905,0.016776068797172805
ATNI,"ATN International, Inc.",Public Utilities,-0.5863549437689048,0.020138969775741495
ATOM,Atomera Incorporated,Technology,-0.8625509794275247,0.03641066858154251
ATOS,Atossa Genetics Inc.,Health Care,-0.7474456739100345,0.06282006641994699
ATRA,"Atara Biotherapeutics, Inc.",Health Care,-0.11199795412197307,0.04436369665667748
ATRC,"AtriCure, Inc.",Health Care,1.1125530361276894,0.024952954157478304
ATRI,Atrion Corporation,Health Care,2.1876950676008686,0.015076302225765562
ATRO,Astronics Corporation,Capital Goods,-0.8042968394177915,0.025539600401483908
ATRS,"Antares Pharma, Inc.",Health Care,-0.6422738204990623,0.013523492684491682
ATSG,"Air Transport Services Group, Inc",Transportation,1.689857358029784,0.02343660348699101
ATTU,Attunity Ltd.,Technology,0.1679243738019094,0.03345914762583988
ATVI,"Activision Blizzard, Inc",Technology,1.3576650135219073,0.019342582751997232
AUBN,"Auburn National Bancorporation, Inc.",Finance,1.3399171092460742,0.01565469022394344
AUDC,AudioCodes Ltd.,Public Utilities,1.453642699677643,0.019018982763849637
AUPH,Aurinia Pharmaceuticals Inc,Health Care,1.278323287772129,0.06302851711930653
AVAV,"AeroVironment, Inc.",Capital Goods,3.359834831550363,0.02183339496855519
AVDL,Avadel Pharmaceuticals plc,Health Care,-0.2566323283071051,0.025404729457709056
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,2.5645648727931554,0.07418045890319876
AVGO,Broadcom Limited,Technology,1.8415248476948642,0.012663797870339628
AVGR,"Avinger, Inc.",Health Care,-0.5373574895429724,0.11613950285689201
AVHI,"A V Homes, Inc.",Capital Goods,0.2445777355705985,0.02055147309024368
AVID,"Avid Technology, Inc.",Technology,-0.7367403451414447,0.0335966442421924
AVIR,"Aviragen Therapeutics, Inc.",Health Care,-0.7871947778726367,0.048467335614373566
