,Sharpe,Risk
BELFB,0.8666073909888119,0.02497949392136345
BFIN,1.8328609000750025,0.010609213062292329
BFIT,0.3194480533632224,0.021494639751758547
BGCP,4.507811976076414,0.013133578266193092
BGFV,-0.9327515734980482,0.028064678433993264
BGNE,0.5500854272805422,0.02396260516967268
BHAC,0.11645873007592508,0.034386150659308716
BHBK,1.7062554455625778,0.015261652397991796
BIB,0.681526937422545,0.1112638092659704
BICK,2.310374522765502,0.03391336440064014
BIDU,-0.3583257976347376,0.014206853416123573
BIIB,0.5626787337101689,0.015879057324639376
BIOC,-0.07916210215289357,0.08087746917533843
BIOL,-0.8627037717388168,0.05081258624053866
BIOP,2.081132607435862,0.056468956586267355
BIOS,-0.11292661536193406,0.059991785600673614
BIS,-0.8292786124333851,0.12045920503461668
BJRI,-0.6865309343058078,0.01755301152464307
BKCC,-0.4886564088977028,0.01181531515955769
BKEP,0.3904813370171279,0.01930868878572183
BKMU,1.419520635745892,0.016369460850630162
BKSC,0.2786783149665473,0.021181720858676492
BLBD,1.8221573477877095,0.014436982915907476
BLCM,-0.627499638085596,0.04288088919174078
BLDP,0.8389284822946501,0.03695259378657485
BLDR,1.4965172105539568,0.023591168802168012
BLFS,4.688645416823155,0.03320829277126324
BLKB,1.3177903620016225,0.016670263195609547
BLMN,0.1928256085255312,0.01766711528754496
BLMT,1.4162606729223808,0.011700546052727093
BLPH,0.08254804878012867,0.07643254394318352
BLRX,-0.09855462580388366,0.03131856110588497
BLUE,1.0801706735866239,0.03985764153324702
BLVD,0.6085296798009802,0.002631280754712354
BMCH,1.2184660954170503,0.015627866512711648
BMLA,1.5989914347959178,0.05603472417838133
BMRA,0.06175429263056161,0.05274096897395918
BMRC,1.449483513966551,0.019137349312534992
BMRN,-0.06964771853457354,0.0186945850509469
BMTC,2.0690985064950405,0.013949844875085516
BNCL,0.7197350678373744,0.014541113109005913
BNDX,-0.2939757525643302,0.008027685338007502
BNFT,-0.5128936966907782,0.028090051916721537
BNSO,0.8380338380837178,0.054450000948169014
BNTC,0.35724141762162537,0.09097630045301587
BOBE,4.04464163030897,0.020725722138727795
BOCH,2.04420615862992,0.021483530029258728
BOFI,0.7294634429331212,0.02460392806790414
BOJA,-0.4782805040600518,0.023070911182871027
BOKF,1.3323132952069687,0.01347521469393234
BOLD,0.8000253316477931,0.0355959506941354
BOLT,0.4174854245605248,0.02413954930248078
BOMN,2.0217040138101456,0.04579876644229038
BONT,-0.4375418886387755,0.11016266777499939
BOOM,1.1662202011788734,0.031729373959011924
BOSC,0.0563317366597461,0.0555517428983985
BOTJ,0.6505759049675159,0.022930430969636175
BOTZ,4.034913991011006,0.030855274958664244
BPFH,1.0010643302786832,0.018108385627244275
BPMC,2.7065408221489036,0.03497042464935658
BPOP,1.7800054377961039,0.013376000195826713
BPTH,-1.051007261740952,0.047337553490667095
BRCD,1.2523274632243095,0.017383332074535667
BREW,0.10399088257935142,0.031074458404382086
BRID,0.009199254869332653,0.04392371688278359
BRKL,1.1914937294667551,0.01659277621215084
BRKR,1.5117859179676707,0.01553577571087354
BRKS,3.3508249165305175,0.024482487129084744
BSET,1.826479592856221,0.023664050904316693
BSF,0.5723255393489548,0.017760258560920377
BSFT,0.5087920006911311,0.020198214441305
BSPM,0.08523344590490245,0.13005886544704026
BSQR,0.24547728115312684,0.03216690488249608
BSRR,1.7072067383329241,0.01740260870247871
BSTC,0.27786812235121944,0.021097938299750502
BTEC,0.6608613730378587,0.07393361748871416
BUFF,0.7571816060254897,0.014129694346560055
BUR,-0.6483476268657663,0.03359586426242296
BUSE,1.986720753181626,0.01403737834523728
BV,-0.40578695273568266,0.025660179531827136
BVSN,-0.18777218618161212,0.03870788286058396
BVXV,0.871897497918877,0.03373426201607047
BWEN,-0.27874504303193326,0.03782564918426952
BWFG,2.0131731845222327,0.018395504681161932
BWINA,0.019009027377914753,0.01758547672723069
BWINB,-0.2566755253600223,0.013264580917619333
BWLD,-0.9617894729246836,0.019177682899848038
BYBK,2.280430413671911,0.035483927272834774
BYFC,0.9741430624189787,0.0292754163692416
BZUN,2.6015761566330102,0.03169980319743979
CA,0.26475604225982796,0.014871634076708102
CAAS,0.14581921573333018,0.027383419433838013
CAC,1.8788418135369558,0.027734223203750536
CACC,1.4603834503389228,0.019881125168616662
CACQ,1.8013084599769764,0.023592937492817736
CADC,0.5382362196899237,0.047845178977052656
CAFD,0.4125471497419953,0.016700466672473314
CAKE,-0.6860841101983898,0.01626966055678977
CALA,3.566648441757768,0.06487808922907543
